Q1_R1	Q1_R1_C1	massage oil	is there any place i can find scented massage oils in qatar?	Yes. It is right behind Kahrama in the National area.	Good
Q1_R1	Q1_R1_C2	massage oil	is there any place i can find scented massage oils in qatar?	whats the name of the shop?	Bad
Q1_R1	Q1_R1_C3	massage oil	is there any place i can find scented massage oils in qatar?	It's called Naseem Al-Nadir. Right next to the Smartlink shop. You'll find the chinese salesgirls at affordable prices there.	Good
Q1_R1	Q1_R1_C4	massage oil	is there any place i can find scented massage oils in qatar?	dont want girls;want oil	Bad
Q1_R1	Q1_R1_C5	massage oil	is there any place i can find scented massage oils in qatar?	Try Both ;) I'am just trying to be helpful. On a serious note - Please go there. you'll find what you are looking for.	Good
Q1_R1	Q1_R1_C6	massage oil	is there any place i can find scented massage oils in qatar?	you mean oil and filter both	Bad
Q1_R1	Q1_R1_C7	massage oil	is there any place i can find scented massage oils in qatar?	Yes Lawa...you couldn't be more right LOL	Bad
Q1_R1	Q1_R1_C8	massage oil	is there any place i can find scented massage oils in qatar?	What they offer?	Bad
Q1_R1	Q1_R1_C9	massage oil	is there any place i can find scented massage oils in qatar?	FU did u try with that salesgirl ?	Bad
Q1_R1	Q1_R1_C10	massage oil	is there any place i can find scented massage oils in qatar?	Swine - No I don't try with salesgirls. My taste is classy ;)	Bad
Q1_R6	Q1_R6_C1	Philipino Massage center	Hi;Can any one tell me a place where i can have a good massage drom philipinies????? yesterday i had a massage in Bio-Bil they charged me 300qr for 01 hour bt it is totally waste... pls advice me if theres any philipinos....	Most massages in Qatar are a waste of money. All they do is just rub some oil. No body does deep tissue massage here.	Bad
Q1_R6	Q1_R6_C2	Philipino Massage center	Hi;Can any one tell me a place where i can have a good massage drom philipinies????? yesterday i had a massage in Bio-Bil they charged me 300qr for 01 hour bt it is totally waste... pls advice me if theres any philipinos....	my masseuse is very good. calling her from to time for home service. currently in the philippines for a month vacation; i guess. =( she is the best in aromatherapy massage.	PotentiallyUseful
Q1_R6	Q1_R6_C3	Philipino Massage center	Hi;Can any one tell me a place where i can have a good massage drom philipinies????? yesterday i had a massage in Bio-Bil they charged me 300qr for 01 hour bt it is totally waste... pls advice me if theres any philipinos....	there is a massage center near mall roundabout in hilal opp. to woqood petrol station	Good
Q1_R6	Q1_R6_C4	Philipino Massage center	Hi;Can any one tell me a place where i can have a good massage drom philipinies????? yesterday i had a massage in Bio-Bil they charged me 300qr for 01 hour bt it is totally waste... pls advice me if theres any philipinos....	Try Magic Touch in Abu Hamour (beside Abu Hamour Petrol Stn)it will just cost you 60QR per hour and I've seen a lot of Qataris as their customers.	Good
Q1_R6	Q1_R6_C5	Philipino Massage center	Hi;Can any one tell me a place where i can have a good massage drom philipinies????? yesterday i had a massage in Bio-Bil they charged me 300qr for 01 hour bt it is totally waste... pls advice me if theres any philipinos....	Can anybody recommend a good place for head massages? I am constantly getting migranes and would like a head massage after the medication has done its job as I am left very drained. Thank you :)	Bad
Q1_R6	Q1_R6_C6	Philipino Massage center	Hi;Can any one tell me a place where i can have a good massage drom philipinies????? yesterday i had a massage in Bio-Bil they charged me 300qr for 01 hour bt it is totally waste... pls advice me if theres any philipinos....	call them they are good 44410410.	PotentiallyUseful
Q1_R6	Q1_R6_C7	Philipino Massage center	Hi;Can any one tell me a place where i can have a good massage drom philipinies????? yesterday i had a massage in Bio-Bil they charged me 300qr for 01 hour bt it is totally waste... pls advice me if theres any philipinos....	Hi Roy; what place is the contact number for that you posted?	Bad
Q1_R6	Q1_R6_C8	Philipino Massage center	Hi;Can any one tell me a place where i can have a good massage drom philipinies????? yesterday i had a massage in Bio-Bil they charged me 300qr for 01 hour bt it is totally waste... pls advice me if theres any philipinos....	I dont know the name; you can call them. Do it fast; they have sooooo many reservations ;)	Bad
Q1_R6	Q1_R6_C9	Philipino Massage center	Hi;Can any one tell me a place where i can have a good massage drom philipinies????? yesterday i had a massage in Bio-Bil they charged me 300qr for 01 hour bt it is totally waste... pls advice me if theres any philipinos....	Roy; thanks; but is it a beauty salon or what? Do you at least know the location?	Bad
Q1_R6	Q1_R6_C10	Philipino Massage center	Hi;Can any one tell me a place where i can have a good massage drom philipinies????? yesterday i had a massage in Bio-Bil they charged me 300qr for 01 hour bt it is totally waste... pls advice me if theres any philipinos....	"The BEST MASSAGE in Doha ""VALUE FOR MONEY"" from my opinion is @ Merzam Residence;(cream color building with light blue glass window); opposite of The Center (Mega Mart)Bin Mahmood. Price is very reasonable; QR 150 for one hour. Therapist is from Bali island and he was working at Ritz-Carlton Hotel in Dubai. Phone no: 44274037. www.merzamhotels.com"	Good
Q1_R8	Q1_R8_C1	Best place for massage	Tell me; where is the best place to go for a massage? Mind you; I don't want to spend 1000QR for it... (Guys; please don't come up with answers that you would gladly do it yourself; plz...) 	"have you try lady siam massage next to toy ""r"" us al sadd? for one hour = 120riyal. not bad i must say Everybody is right Everybody is wrong; it depend where we stand."	Good
Q1_R8	Q1_R8_C2	Best place for massage	Tell me; where is the best place to go for a massage? Mind you; I don't want to spend 1000QR for it... (Guys; please don't come up with answers that you would gladly do it yourself; plz...) 	I have never been for a massage! Can you believe it? Maybe I should go and try too! :)	Bad
